28,G.,5 Kal.,Sanctorum Vincenti Sabine et Christe{te},
29,A.,4 Kal.,,
30,B.,3 Kal.,Sancte Marcelli Tingi,
31,C.,2 Kal.,,
1,D.,Kal. Nbr.,Translatio corporis sancte Saturnini,
2,E.,4 Nonas,Letanie canonice,
3,F.,3 Nonas,,
4,G.,2 Nonas,,
5,A.,Nonis,,
6,B.,8 Idus,,
7,C.,7 Idus,,
8,D.,6 Idus,,
9,E.,5 Idus,,
10,F.,4 Idus,,
11,G.,3 Idus,Sancte Martini epi.,
12,A.,2 Idus,Sante Emiliani prsbeteri,
13,B.,Idibus,,
14,C.,18 Kal. Dcbrs,,
15,D.,17 Kal.,,
16,E.,16 Kal.,,
17,F.,15 Kal.,Sancte Aciscli et cm eius,
18,G.,14 Kal.,Sancte Romani cm eius.,
19,A.,13 Kal.,,
20,B.,12 Kal.,,
21,C.,11 Kal.,,
22,D.,10 Kal.,Sancte Ceciliae virg. Et cm eius,
23,E.,9 Kal.,Sancte Clementis epi.,
24,F.,8 Kal.,,
25,G.,7 Kal.,Sancte Saluatoris Yems in quo {est},
26,A.,6 Kal.,,
27,B.,5 Kal.,Sancte Facundi et Primitibi,
28,C.,4 Kal.,,
29,D.,3 Kal.,Sancte Saturnini epi. (tolors),
30,E.,2 Kal.,Sancte Andre Apostoli {Acayi},
1,F.,Kal. Dcbr.,,
2,G.,4 Nonas,,
3,A.,3 Nonas,,
4,B.,2 Nonas,,
5,C.,Nonis,,
6,D.,8 Idus,,
7,E.,7 Idus,,
8,F.,6 Idus,,
9,G.,5 Idus,Sanctae Leocadiae Virg.,
10,A.,4 Idus,Sancte Eolaliae Vir.,
11,B.,3 Idus,,
12,C.,2 Idus,,
13,D.,Idibus,Letanie celebranderant tribus diebus pro aduentu angeli,
14,E.,Kal. Inrs.,,
15,F.,18 Kal.,,
16,G.,17 Kal.,,
17,A.,16 Kal.,Sancte Alexandri,
18,B.,15 Kal.,Sanctae Mariae Virg et genetricis domini,
19,C.,14 Kal.,,
20,D.,13 Kal.,,
21,E.,12 Kal.,Sancte Tome Apostoli,
22,F.,11 Kal.,,
23,G.,10 Kal.,,
24,A.,9 Kal.,,
25,B.,8 Kal.,Natibitas domini nostri Ihesu Christi,
26,C.,7 Kal.,Sancte Stefani leuite,
27,D.,6 Kal.,Sanctae Eugeniae vir. Et cm eius,
28,E.,5 Kal.,Sancti Iacobi Apostoli fr. Domini,
29,F.,4 Kal.,Adsumtio sancti Iohannis Apostoli,
30,G.,3 Kal.,Sancti Iacobi Frater sancti Iohannis,
31,A.,2 Kal.,Sanctae Columbe uirg. (senonas),
