Year,Name,Link,Use,Downloaded?,Location,Notes
1725,Breviarium Benedictinum,https://books.google.com/books?id=B7REAAAAcAAJ,,,,
1735,Carmelite,https://books.google.com/books?id=ZfcSJlZFnLcC,,,,
1735,Carmelite,https://books.google.com/books?id=RJvyerGFch0C,,,,
1737,Octavarium Romanum,https://archive.org/details/bub_gb_slNVRb2sij8C,Roman,yes,both,
1740,Breviarium Ordinis Praedicatorum,https://books.google.com/books?id=n1lUAAAAcAAJ,SOP,,,
1741,Breviarium praemonstratense,https://books.google.com/books?id=qFNbAAAAcAAJ,,,,
1759,Breviarium sanctae ecclesiae Metropolitanae Remensis,https://books.google.com/books?id=2sYCAAAAQAAJ,,,,
1759,Breviarium sanctae ecclesiae Metropolitanae Remensis,https://books.google.com/books?id=r8YCAAAAQAAJ,,,,
1759,Breviarium sanctae ecclesiae Metropolitanae Remensis,https://books.google.com/books?id=H8cCAAAAQAAJ,,,,
1765,Breviarium Pictaviense,https://archive.org/details/breviariumpicta00diocgoog,,,,
1766,Breviarium Leodiense,https://books.google.com/books?id=mNgGAAAAQAAJ,,,,
1766,Breviarium Leodiense,https://books.google.com/books?id=htkGAAAAQAAJ,,,,
1766,Breviarium Leodiense,https://books.google.com/books?id=SdkGAAAAQAAJ,,,,
1766,Breviarium Leodiense,https://books.google.com/books?id=5dgGAAAAQAAJ,,,,
1766,Breviarium Leodiense,https://books.google.com/books?id=mNgGAAAAQAAJ,,,,
1772,Saint Papoul [Gallican],https://archive.org/details/breviariumsanpa00diocgoog,,,,
1772,Saint Papoul [Gallican],https://archive.org/details/breviariumsanpa01diocgoog,,,,
1772,Saint Papoul [Gallican],https://archive.org/details/breviariumsanpa02diocgoog,,,,
1772,Saint Papoul [Gallican],https://www.google.com/books/edition/Breviarium_San_Papulense/fNIHAAAAQAAJ,,,,
1772,Saint Papoul [Gallican],https://www.google.com/books/edition/Breviarium_San_Papulense/dtMHAAAAQAAJ,,,,
1774,Breviarium Romanum,https://books.google.com/books?id=ft2uujndmQIC,Roman,,,
1774,Spanish Local Feasts,https://books.google.com/books?id=6FdcQKNxkmIC,,,,
1775,Breviarium Gothicum,https://archive.org/details/A104159,,yes,both,
1777,Breviarum Rotomagensis [Use of Rouen] [Gallican],https://archive.org/details/breviariumeccle00diocgoog,,,,
1777,Breviarum Rotomagensis [Use of Rouen] [Gallican],https://archive.org/details/breviariumeccle01diocgoog,,,,
1777,Breviarum Rotomagensis [Use of Rouen] [Gallican],https://archive.org/details/breviariumeccle02diocgoog,,,,
1777,Breviarum Rotomagensis [Use of Rouen] [Gallican],https://archive.org/details/breviariumeccle03diocgoog,,,,
1777,Breviarium Monasticum,https://books.google.com/books?id=1RoUAAAAQAAJ,,,,
1777,Breviarium Monasticum,https://books.google.com/books?id=8RoUAAAAQAAJ,,,,
1777,Breviarium Monasticum,https://books.google.com/books?id=gxoUAAAAQAAJ,,,,
1777,Breviarium Monasticum,https://books.google.com/books?id=shoUAAAAQAAJ,,,,
1780,Antiphonarium seu Vesperale secundum Bisuntinum,https://archive.org/details/bub_gb_5acGLrV_l0sC,,,,
1785,Breviarium Romanum,https://books.google.com/books?id=ZL2ijwnDlMoC,Roman,,,
1786,Breviarium Praemonstratensis,https://books.google.com/books?id=TT2zwq6_I-gC,,,,
1786,Breviarium Praemonstratensis,https://books.google.com/books?id=L9oGAAAAQAAJ,,,,
